"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
88626,"01: Dive (part 1)","Action,Sci-fi,Drama","http://tapastic.com/episode/88626","http://d2me59s95dy7e.cloudfront.net/cartoons/1d/e4/5b/37/dfd5674ee4f64ad8a0e2ffa14b5d68f3.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fa/bc/4c/b8/057f0dda95144102aa17b66126973e6d.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/43/cc/0d/c3/6d0ea57a71db4a6596ee652545def47f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/f1/b1/45/17/9ba3904d9be94093a21f3ac7f907d718.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/2f/3e/b0/85/c0b00e91df8c41efa40aa415432511ba.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/fe/0c/b9/57/cc878c4b54d94833b231bfe7de5e8265.jpg"
88609,"Eternal Sunshine","Slice of Life,Comedy,Drama","http://tapastic.com/episode/88609","http://d2me59s95dy7e.cloudfront.net/cartoons/b1/2b/45/92/f8c95b4a69c949608b2e9d5e521595ce.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/4b/48/8b/58/aa9524c4f6e346a58533f5bdd0155818.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/a0/b9/5a/91/74fb702eab254613b596e5cfbddd777e.jpg"
88577,"MEEP","Slice of Life,Comedy","http://tapastic.com/episode/88577","http://d2me59s95dy7e.cloudfront.net/cartoons/87/70/4f/6b/9f0cdb69a0db42d8b3f634caa7ff64c6.jpg"
88553,"Art college friends pt.1","Slice of Life,Comedy,Drama","http://tapastic.com/episode/88553","http://d2me59s95dy7e.cloudfront.net/cartoons/76/57/79/8e/cea52180ef944f8286aee4b17828c3f0.jpg"
88551,"Could Be Worse","Slice of Life,Comedy","http://tapastic.com/episode/88551","http://d2me59s95dy7e.cloudfront.net/cartoons/85/b7/c2/98/fde6995e8104448ba7c7d092de4eca55.jpg"
88465,"all according to plan","Slice of Life,Comedy","http://tapastic.com/episode/88465","http://d2me59s95dy7e.cloudfront.net/cartoons/25/30/20/ac/5711645f4ce545ffacf27413635384e5.jpg"
88457,"Shower Time","Slice of Life,Comedy","http://tapastic.com/episode/88457","http://d2me59s95dy7e.cloudfront.net/cartoons/01/fd/0b/99/edd20b704481400d84b482c594fc8ecd.gif;http://d2me59s95dy7e.cloudfront.net/cartoons/f0/bc/97/dd/ff941a3cd299493b866b900895b1ba88.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/9d/7b/d0/78/d4e94b2037f346488ec99ae3722c5cbe.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/e0/80/4a/e5/7e3384b7de7b43658aaa065ed46a3033.gif;http://d2me59s95dy7e.cloudfront.net/cartoons/27/72/00/07/cb955481caec4d8989808c44f7364caa.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/0c/cb/42/75/09d97c7e25064ab0856fb30ebe68c957.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/9d/5d/cc/6a/0bcccda1dea5439aaa9ff40163f8541e.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/78/84/96/e2/ccf7d24ec2bc416bbd323ce868ca6abb.gif;http://d2me59s95dy7e.cloudfront.net/cartoons/3d/f7/0e/e8/f0a095f6a99c48a0bd2a193be97cb519.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/46/e7/14/c7/177c5637c46a46bca00cf8a1bb042db8.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/df/32/86/b8/860cc49d7f444975929df82ae605c3a6.gif"
88444,"Chapter 2 - Taste (Part 2)","Slice of Life,Sci-fi","http://tapastic.com/episode/88444","http://d2me59s95dy7e.cloudfront.net/cartoons/e7/15/13/9c/00d84bd5ccc74484987591a2d292372e.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/27/6b/91/42/abe191dff6384c3d9ba1187e9b4fd3b5.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/2c/a3/1a/ff/313b9002102e499a9bdd80bbd5967d9d.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/eb/b6/ac/b4/86f6e7a082b542d98c86f6f3d067669b.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/05/f0/4a/d9/476b5b28e92547308d991c56a3c2f068.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/5e/9e/47/00/fd27663c51fc47cc8916f5ea4f5a3a4f.jpg"
88396,"Chapter 2 - (25)","Action,Fantasy,Horror","http://tapastic.com/episode/88396","http://d2me59s95dy7e.cloudfront.net/cartoons/82/c6/20/07/847be8eeb06f4a50b80074754ff3ea0f.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/11/35/2e/28/70d4ff87f70d41fa9d7078e5a25a8b5e.jpg"
88351,"Book 2_ep 10 - Hide & Seek (10)","Fantasy,Romance","http://tapastic.com/episode/88351","http://d2me59s95dy7e.cloudfront.net/cartoons/a4/c5/ba/0d/4f337d226b5249818b00efb4c8e907e6.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/36/cf/a3/f3/30aabeecafd9425e9a9e5fe00893fa58.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/63/7b/9f/b7/bde4ccc9628a44ebb40f1a0082bdc070.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/47/1a/9f/8d/e187580497a24eefa2ca0ae5e99ccf03.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/b3/3e/4e/ef/2d580be2a0bd492a98cd811df42807e8.jpg;http://d2me59s95dy7e.cloudfront.net/cartoons/d9/9a/18/ed/43078f6078f14350baa6ccf79d33d405.jpg"
88338,"Healthy Eating","Slice of Life,Comedy","http://tapastic.com/episode/88338","http://d2me59s95dy7e.cloudfront.net/cartoons/93/1d/2a/37/b5f40ebb413640e28351627c7faf57fe.jpg"
